Date,Open,High,Low,Close,Adj Close,Volume
2022-12-08,30000.0,30350.0,29300.0,29950.0,29787.55859375,141382.0
2022-12-09,30300.0,30700.0,29800.0,30000.0,29837.2890625,111323.0
2022-12-12,29550.0,29750.0,28800.0,29400.0,29240.54296875,118654.0
2022-12-13,29800.0,30450.0,29050.0,29600.0,29439.45703125,106140.0
2022-12-14,29850.0,30400.0,29800.0,30100.0,29936.74609375,131688.0
2022-12-15,29600.0,29700.0,28750.0,29050.0,28892.44140625,191397.0
2022-12-16,28700.0,29400.0,28600.0,28900.0,28743.25390625,158907.0
2022-12-19,28800.0,29600.0,28700.0,29050.0,28892.44140625,84763.0
2022-12-20,28850.0,30100.0,28850.0,29200.0,29041.626953125,119142.0
2022-12-21,29700.0,30000.0,28050.0,29100.0,28942.169921875,137803.0
2022-12-22,29400.0,29900.0,29250.0,29850.0,29688.1015625,99181.0
2022-12-23,29000.0,29150.0,28050.0,28300.0,28146.5078125,213084.0
2022-12-26,28300.0,29150.0,28100.0,28950.0,28792.982421875,113314.0
2022-12-27,29250.0,29750.0,28800.0,29500.0,29340.0,127909.0
2022-12-28,29200.0,29200.0,27950.0,28400.0,28400.0,181138.0
2022-12-29,28150.0,28300.0,26800.0,27500.0,27500.0,182364.0
2023-01-02,27650.0,27850.0,26350.0,26500.0,26500.0,127412.0
2023-01-03,26450.0,28000.0,26000.0,27950.0,27950.0,118550.0
2023-01-04,27350.0,29550.0,27200.0,29200.0,29200.0,219113.0
2023-01-05,29450.0,29800.0,28400.0,29500.0,29500.0,132722.0
2023-01-06,29100.0,31850.0,29100.0,31700.0,31700.0,412897.0
2023-01-09,32000.0,32350.0,31350.0,31750.0,31750.0,215517.0
2023-01-10,31750.0,32600.0,31250.0,31400.0,31400.0,201899.0
2023-01-11,31650.0,32300.0,31400.0,32050.0,32050.0,161740.0
2023-01-12,32150.0,32150.0,30950.0,31100.0,31100.0,168571.0
2023-01-13,31250.0,31950.0,30900.0,31100.0,31100.0,140254.0
2023-01-16,31400.0,31400.0,30550.0,30900.0,30900.0,135677.0
2023-01-17,30750.0,31100.0,30000.0,30100.0,30100.0,140183.0
2023-01-18,30050.0,30400.0,29750.0,30200.0,30200.0,65554.0
2023-01-19,29750.0,30200.0,29300.0,30050.0,30050.0,106821.0
2023-01-20,30600.0,31850.0,30500.0,31300.0,31300.0,296225.0
