Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,14575.0,15025.0,13500.0,13875.0,13875.0,1247231.0
2022-10-28,13975.0,14700.0,13375.0,14175.0,14175.0,911491.0
2022-10-31,14500.0,15725.0,14450.0,15350.0,15350.0,1188028.0
2022-11-01,15675.0,15750.0,14400.0,14625.0,14625.0,782806.0
2022-11-02,14300.0,14875.0,13750.0,14450.0,14450.0,506803.0
2022-11-03,13850.0,15400.0,13850.0,15100.0,15100.0,588493.0
2022-11-04,15275.0,15500.0,14425.0,14950.0,14950.0,431412.0
2022-11-07,15500.0,15500.0,14750.0,14950.0,14950.0,313032.0
2022-11-08,14700.0,15075.0,14300.0,15075.0,15075.0,370911.0
2022-11-09,15100.0,17475.0,14875.0,16675.0,16675.0,3537240.0
2022-11-10,16275.0,16550.0,15275.0,15875.0,15875.0,1482120.0
2022-11-11,16100.0,17475.0,15450.0,17050.0,17050.0,1807924.0
2022-11-14,16525.0,17250.0,15825.0,16350.0,16350.0,1102361.0
2022-11-15,16350.0,16375.0,15600.0,15700.0,15700.0,633970.0
2022-11-16,15875.0,17200.0,15600.0,16000.0,16000.0,1269064.0
2022-11-17,16100.0,17325.0,15650.0,15900.0,15900.0,2284386.0
2022-11-18,15875.0,20425.0,15600.0,19500.0,19500.0,7560098.0
2022-11-21,,,,,,
2022-11-22,,,,,,
2022-11-23,,,,,,
2022-11-24,,,,,,
2022-11-25,,,,,,
2022-11-28,,,,,,
2022-11-29,,,,,,
2022-11-30,3175.0,4085.0,3120.0,3900.0,3900.0,36977838.0
2022-12-01,,,,,,
2022-12-02,,,,,,
2022-12-05,,,,,,
2022-12-06,,,,,,
2022-12-07,,,,,,
2022-12-08,,,,,,
2022-12-09,,,,,,
2022-12-12,14550.0,16600.0,13650.0,14650.0,14650.0,3864618.0
2022-12-13,14350.0,14400.0,11600.0,11850.0,11850.0,2546997.0
2022-12-14,10900.0,12950.0,10900.0,12100.0,12100.0,3427702.0
2022-12-15,12000.0,12100.0,10400.0,10700.0,10700.0,1615278.0
2022-12-16,10250.0,12900.0,10100.0,12100.0,12100.0,3476425.0
2022-12-19,13150.0,15700.0,12400.0,15700.0,15700.0,4468869.0
2022-12-20,16550.0,18200.0,14900.0,16350.0,16350.0,7454255.0
2022-12-21,17850.0,19200.0,13850.0,14600.0,14600.0,5055741.0
2022-12-22,14350.0,16300.0,14150.0,15350.0,15350.0,4190387.0
2022-12-23,14800.0,14900.0,13400.0,14300.0,14300.0,2342599.0
2022-12-26,14100.0,15400.0,13400.0,14700.0,14700.0,1841595.0
2022-12-27,14950.0,15950.0,14700.0,15150.0,15150.0,2314519.0
2022-12-28,15400.0,16850.0,15050.0,15350.0,15350.0,3789162.0
2022-12-29,15600.0,16050.0,14350.0,14750.0,14750.0,1451106.0
2023-01-02,15100.0,15600.0,14350.0,15500.0,15500.0,983272.0
2023-01-03,15750.0,16400.0,15150.0,16200.0,16200.0,1531916.0
2023-01-04,16000.0,16200.0,15250.0,15900.0,15900.0,1125134.0
2023-01-05,15850.0,16100.0,15000.0,15000.0,15000.0,813761.0
2023-01-06,14650.0,15100.0,14350.0,14600.0,14600.0,568185.0
2023-01-09,14700.0,14750.0,14150.0,14350.0,14350.0,375137.0
2023-01-10,14650.0,14700.0,13550.0,13750.0,13750.0,608441.0
2023-01-11,13850.0,14450.0,13500.0,14200.0,14200.0,448717.0
2023-01-12,14500.0,15350.0,14100.0,14900.0,14900.0,919198.0
2023-01-13,15150.0,15400.0,14900.0,15050.0,15050.0,409983.0
2023-01-16,15500.0,16350.0,15300.0,15600.0,15600.0,1557305.0
2023-01-17,15700.0,18000.0,15700.0,17350.0,17350.0,3705521.0
2023-01-18,17350.0,18900.0,16900.0,17650.0,17650.0,2710619.0
2023-01-19,17700.0,17700.0,13450.0,14550.0,14550.0,3811679.0
2023-01-20,13750.0,15950.0,13500.0,15500.0,15500.0,2629559.0
2023-01-25,15430.0,15920.0,14860.0,15310.0,15310.0,2756772.0
2023-01-26,15130.0,16100.0,14240.0,15380.0,15380.0,2548823.0
2023-01-27,15660.0,15800.0,14800.0,14890.0,14890.0,1313124.0
2023-01-30,14890.0,16000.0,14600.0,15700.0,15700.0,2186298.0
2023-01-31,15710.0,16320.0,14620.0,14960.0,14960.0,1177933.0
2023-02-01,15000.0,15110.0,14500.0,14560.0,14560.0,538598.0
2023-02-02,14690.0,14790.0,14500.0,14590.0,14590.0,363232.0
2023-02-03,14590.0,14590.0,14050.0,14150.0,14150.0,499809.0
2023-02-06,14000.0,14310.0,13730.0,13900.0,13900.0,299906.0
2023-02-07,13930.0,14290.0,13700.0,13980.0,13980.0,367539.0
2023-02-08,14100.0,14130.0,13790.0,13800.0,13800.0,244654.0
2023-02-09,13800.0,13890.0,13690.0,13800.0,13800.0,216780.0
2023-02-10,13800.0,13800.0,13320.0,13320.0,13320.0,279448.0
2023-02-13,13320.0,13550.0,12100.0,12960.0,12960.0,480068.0
2023-02-14,12700.0,13080.0,12500.0,12770.0,12770.0,236224.0
2023-02-15,12790.0,14180.0,12610.0,13050.0,13050.0,788255.0
2023-02-16,13130.0,14090.0,13050.0,13690.0,13690.0,941597.0
2023-02-17,13720.0,13950.0,12960.0,13010.0,13010.0,601103.0
2023-02-20,13020.0,13700.0,12810.0,13370.0,13370.0,387415.0
2023-02-21,13400.0,13540.0,13170.0,13340.0,13340.0,478845.0
2023-02-22,14000.0,14270.0,13200.0,13220.0,13220.0,1495915.0
2023-02-23,13210.0,13470.0,12940.0,12950.0,12950.0,395849.0
2023-02-24,13250.0,13600.0,12970.0,13300.0,13300.0,813237.0
2023-02-27,13300.0,13590.0,13000.0,13070.0,13070.0,568474.0
2023-02-28,13190.0,13470.0,13050.0,13150.0,13150.0,406855.0
2023-03-02,13310.0,13550.0,13030.0,13250.0,13250.0,870680.0
2023-03-03,13250.0,13250.0,12750.0,13010.0,13010.0,445579.0
2023-03-06,13010.0,13140.0,12760.0,13000.0,13000.0,376593.0
2023-03-07,13390.0,16880.0,13350.0,16420.0,16420.0,10336370.0
2023-03-08,16050.0,16370.0,14840.0,15900.0,15900.0,3912412.0
2023-03-09,15300.0,15450.0,13530.0,14030.0,14030.0,1788229.0
2023-03-10,13440.0,14360.0,13020.0,13420.0,13420.0,1304367.0
2023-03-13,13350.0,13860.0,13030.0,13770.0,13770.0,654436.0
2023-03-14,13770.0,13910.0,12910.0,13020.0,13020.0,621622.0
2023-03-15,13300.0,13780.0,13080.0,13300.0,13300.0,592497.0
2023-03-16,13100.0,14090.0,12890.0,13920.0,13920.0,567744.0
2023-03-17,14100.0,14360.0,13590.0,14240.0,14240.0,601116.0
2023-03-20,14000.0,15920.0,13940.0,15390.0,15390.0,1844165.0
2023-03-21,15110.0,16130.0,15010.0,15330.0,15330.0,2168104.0
2023-03-22,15740.0,15850.0,15250.0,15490.0,15490.0,684604.0
2023-03-23,15520.0,20100.0,15400.0,17800.0,17800.0,14125890.0
2023-03-24,18800.0,20150.0,17550.0,18910.0,18910.0,9128523.0
2023-03-27,18500.0,23100.0,18430.0,22250.0,22250.0,11723380.0
2023-03-28,22350.0,26500.0,21200.0,25050.0,25050.0,8422018.0
2023-03-29,24250.0,27400.0,24200.0,25450.0,25450.0,4308041.0
2023-03-30,25850.0,27450.0,23850.0,24950.0,24950.0,2844813.0
2023-03-31,25950.0,29600.0,25500.0,26250.0,26250.0,5309405.0
2023-04-03,27500.0,30750.0,25500.0,28800.0,28800.0,6192573.0
2023-04-04,29050.0,33450.0,28850.0,30900.0,30900.0,4187887.0
2023-04-05,32700.0,32700.0,30000.0,31350.0,31350.0,1748330.0
2023-04-06,29800.0,31800.0,29700.0,31250.0,31250.0,1184293.0
2023-04-07,32000.0,34700.0,31250.0,31700.0,31700.0,2511719.0
2023-04-10,31900.0,32150.0,30100.0,31750.0,31750.0,1234638.0
2023-04-11,31750.0,31800.0,28000.0,30650.0,30650.0,1320935.0
2023-04-12,30200.0,30200.0,26900.0,27200.0,27200.0,1103612.0
2023-04-13,28000.0,34250.0,27650.0,33000.0,33000.0,6393019.0
2023-04-14,33550.0,35500.0,31550.0,33350.0,33350.0,3297478.0
2023-04-17,32700.0,32900.0,30700.0,31100.0,31100.0,1420516.0
2023-04-18,31300.0,31500.0,29100.0,29150.0,29150.0,1434732.0
2023-04-19,30800.0,32950.0,28850.0,29500.0,29500.0,2479232.0
2023-04-20,28600.0,29250.0,27200.0,28600.0,28600.0,1084592.0
2023-04-21,27550.0,28150.0,25500.0,25600.0,25600.0,1149478.0
2023-04-24,26350.0,28700.0,25500.0,26200.0,26200.0,1399268.0
2023-04-25,25700.0,26000.0,24000.0,24850.0,24850.0,759653.0
2023-04-26,25000.0,25500.0,23500.0,24100.0,24100.0,637690.0
2023-04-27,23600.0,24400.0,23150.0,24250.0,24250.0,680628.0
2023-04-28,24600.0,24650.0,22300.0,22400.0,22400.0,782251.0
2023-05-02,22400.0,22900.0,21800.0,22500.0,22500.0,499964.0
2023-05-03,22500.0,22650.0,21350.0,21650.0,21650.0,363776.0
2023-05-04,21550.0,22100.0,20950.0,21100.0,21100.0,406059.0
2023-05-08,21400.0,21700.0,20750.0,21050.0,21050.0,388403.0
2023-05-09,21100.0,21200.0,19970.0,20600.0,20600.0,549227.0
2023-05-10,20550.0,20650.0,19500.0,19700.0,19700.0,576106.0
2023-05-11,20300.0,20500.0,18510.0,18890.0,18890.0,819627.0
2023-05-12,18820.0,19420.0,18720.0,19060.0,19060.0,402735.0
2023-05-15,19200.0,19400.0,18370.0,19380.0,19380.0,464469.0
2023-05-16,19850.0,19920.0,18490.0,19560.0,19560.0,603373.0
2023-05-17,19500.0,21000.0,19100.0,20400.0,20400.0,749840.0
2023-05-18,21100.0,21100.0,20200.0,20350.0,20350.0,365887.0
2023-05-19,20450.0,20650.0,19800.0,19850.0,19850.0,287028.0
2023-05-22,20000.0,20700.0,19050.0,20600.0,20600.0,410900.0
2023-05-23,21300.0,22400.0,20600.0,21750.0,21750.0,1211799.0
2023-05-24,21250.0,23350.0,21100.0,23000.0,23000.0,1232387.0
2023-05-25,22500.0,23350.0,21450.0,22600.0,22600.0,756972.0
2023-05-26,22300.0,22600.0,21300.0,21350.0,21350.0,367834.0
2023-05-30,21150.0,21150.0,19050.0,19250.0,19250.0,863848.0
2023-05-31,18980.0,20650.0,18350.0,20650.0,20650.0,762866.0
2023-06-01,20350.0,20950.0,19800.0,20450.0,20450.0,293871.0
2023-06-02,20700.0,22100.0,20500.0,21950.0,21950.0,548155.0
2023-06-05,22400.0,28500.0,21600.0,26000.0,26000.0,9425170.0
2023-06-07,26450.0,26700.0,25500.0,26400.0,26400.0,2182008.0
2023-06-08,26000.0,26400.0,24750.0,24900.0,24900.0,1478218.0
2023-06-09,24900.0,24950.0,23400.0,24100.0,24100.0,1485822.0
2023-06-12,24000.0,24300.0,23450.0,24300.0,24300.0,808691.0
2023-06-13,24300.0,25150.0,23650.0,24700.0,24700.0,1160639.0
2023-06-14,25150.0,26600.0,23650.0,23850.0,23850.0,2451342.0
2023-06-15,24350.0,26050.0,24050.0,25600.0,25600.0,1780820.0
2023-06-16,25600.0,25600.0,24250.0,24900.0,24900.0,769018.0
2023-06-19,24500.0,24550.0,23100.0,23400.0,23400.0,657276.0
2023-06-20,23050.0,23250.0,22050.0,22150.0,22150.0,540474.0
2023-06-21,22050.0,22400.0,21100.0,21200.0,21200.0,684724.0
2023-06-22,23700.0,24400.0,21800.0,21900.0,21900.0,2064143.0
2023-06-23,21800.0,21800.0,20550.0,20900.0,20900.0,562015.0
