Open,High,Low,Close,Adj Close,Volume
236000.0,247500.0,235000.0,239500.0,239500.0,1447367
236000.0,263000.0,235000.0,250000.0,250000.0,2584650
255500.0,268500.0,239500.0,268000.0,268000.0,2207509
285000.0,308000.0,282500.0,297000.0,297000.0,4377177
295500.0,301000.0,284500.0,289000.0,289000.0,1585538
286000.0,295500.0,281000.0,288500.0,288500.0,1518243
295500.0,309500.0,288500.0,296000.0,296000.0,2136323
290500.0,314000.0,287000.0,313500.0,313500.0,1986231
340000.0,349500.0,323500.0,328000.0,328000.0,2866274
322000.0,347500.0,314000.0,316000.0,316000.0,2202895
322000.0,331000.0,315000.0,329500.0,329500.0,1283707
324000.0,326500.0,311500.0,316500.0,316500.0,1311707
317500.0,323500.0,313000.0,316500.0,316500.0,1207341
320000.0,332000.0,315000.0,319000.0,319000.0,2682685
321000.0,321500.0,296000.0,317500.0,317500.0,2373871
317000.0,318500.0,293500.0,295000.0,295000.0,1550701
287000.0,302500.0,281000.0,297000.0,297000.0,1410312
309000.0,318500.0,302500.0,314000.0,314000.0,1550182
316500.0,323000.0,312000.0,316000.0,316000.0,999830
319000.0,344000.0,313000.0,325500.0,325500.0,2707591
330500.0,346000.0,324000.0,337000.0,337000.0,2083650
323000.0,325000.0,308000.0,310000.0,310000.0,2790517
304000.0,317000.0,299000.0,302500.0,302500.0,1422316
299000.0,301500.0,284000.0,287000.0,287000.0,1352240
289000.0,290500.0,264000.0,271500.0,271500.0,1938777
271500.0,275500.0,262000.0,262000.0,262000.0,1055223
261000.0,276000.0,258000.0,276000.0,276000.0,1117823
280500.0,281000.0,263000.0,265000.0,265000.0,1038962
266500.0,270000.0,262000.0,264500.0,264500.0,632425
263000.0,263000.0,251000.0,254500.0,254500.0,726608
253000.0,259500.0,251500.0,254500.0,254500.0,424056
260000.0,263500.0,249000.0,250000.0,250000.0,524972
247500.0,249000.0,239000.0,245000.0,245000.0,685138
243500.0,248500.0,238000.0,243500.0,243500.0,575641
243000.0,246000.0,233500.0,233500.0,233500.0,914150
236000.0,247500.0,236000.0,239500.0,239500.0,752214
236500.0,246500.0,233000.0,246000.0,246000.0,572154
248500.0,252500.0,244000.0,251500.0,251500.0,624691
251000.0,258500.0,249000.0,258000.0,258000.0,437030
261500.0,264000.0,252500.0,252500.0,252500.0,535808
252500.0,253000.0,236000.0,237000.0,237000.0,872384
236000.0,251000.0,234000.0,251000.0,251000.0,595384
254500.0,268500.0,252000.0,264000.0,264000.0,969042
266500.0,267500.0,258500.0,261500.0,261500.0,482503
259500.0,263000.0,251500.0,253500.0,253500.0,446619
254000.0,257500.0,247000.0,251500.0,251500.0,391430
254000.0,261500.0,247500.0,261000.0,261000.0,479017
262500.0,274500.0,262500.0,270000.0,270000.0,900909
270500.0,271500.0,263000.0,266000.0,266000.0,325156
268500.0,271000.0,265000.0,267000.0,267000.0,346510
269500.0,270500.0,261500.0,265500.0,265500.0,350259
268000.0,280500.0,267000.0,279000.0,279000.0,836119
277000.0,280500.0,267500.0,268500.0,268500.0,749463
276500.0,280500.0,270000.0,273000.0,273000.0,579225
279000.0,286500.0,276000.0,285000.0,285000.0,718538
288000.0,288000.0,278500.0,281500.0,281500.0,699071
286500.0,286500.0,254500.0,255500.0,255500.0,1608349
261500.0,265500.0,249500.0,255500.0,255500.0,1096502
261000.0,266000.0,255500.0,264500.0,264500.0,688354
262500.0,263500.0,251000.0,256500.0,256500.0,744145
253000.0,258500.0,249500.0,254500.0,254500.0,438775
255500.0,259000.0,246000.0,246000.0,246000.0,703175
242000.0,253000.0,242000.0,250000.0,250000.0,405092
258000.0,260000.0,252500.0,253500.0,253500.0,415816
253000.0,256000.0,249500.0,250500.0,250500.0,254027
248000.0,253500.0,238500.0,252500.0,252500.0,658872
253000.0,254000.0,238500.0,239000.0,239000.0,687747
240000.0,244000.0,236000.0,238000.0,238000.0,410271
237500.0,244500.0,235500.0,243000.0,243000.0,301235
245500.0,252500.0,243500.0,249500.0,249500.0,513629
252500.0,260000.0,248000.0,248500.0,248500.0,698223
249500.0,252000.0,245000.0,247000.0,247000.0,515240
246500.0,247500.0,237000.0,238500.0,238500.0,547160
237000.0,242000.0,235500.0,238000.0,238000.0,429406
238500.0,242500.0,228000.0,235000.0,235000.0,640635
237500.0,240000.0,230500.0,232500.0,232500.0,560170
231000.0,234000.0,223000.0,223500.0,223500.0,1300224
224000.0,229000.0,221000.0,227500.0,227500.0,823038
227500.0,228000.0,222500.0,225500.0,225500.0,521036
222500.0,243500.0,222500.0,237500.0,237500.0,1880460
243000.0,284500.0,235000.0,279000.0,279000.0,4869890
270000.0,295500.0,265500.0,273500.0,273500.0,4751983
263000.0,277000.0,259000.0,268000.0,268000.0,2240078
275500.0,291500.0,274500.0,281000.0,281000.0,3023205
290000.0,290000.0,272500.0,278000.0,278000.0,2103047
279000.0,318000.0,257500.0,263000.0,263000.0,7192410
265500.0,268500.0,238000.0,239000.0,239000.0,2058193
232000.0,242500.0,230000.0,238500.0,238500.0,1420014
239000.0,261500.0,239000.0,257500.0,257500.0,1349680
263500.0,263500.0,245500.0,247500.0,247500.0,1183218
241000.0,251000.0,240500.0,244500.0,244500.0,613152
249500.0,256500.0,229000.0,244000.0,244000.0,1462835
239500.0,240000.0,231000.0,234000.0,234000.0,1133603
230000.0,230500.0,215500.0,217000.0,217000.0,1186254
216000.0,219500.0,212500.0,215500.0,215500.0,645376
214000.0,225000.0,213000.0,224500.0,224500.0,442974
222500.0,230500.0,220500.0,228000.0,228000.0,401856
229000.0,229000.0,220000.0,222500.0,222500.0,357399
220000.0,222500.0,215000.0,217000.0,217000.0,343263
214500.0,221500.0,211000.0,212500.0,212500.0,405672
210000.0,230500.0,208500.0,227000.0,227000.0,699630
221000.0,221000.0,210500.0,211000.0,211000.0,664770
211000.0,216000.0,208500.0,211500.0,211500.0,493102
216500.0,218500.0,211000.0,212000.0,212000.0,410183
211000.0,212000.0,198100.0,201000.0,201000.0,794589
203500.0,207500.0,199500.0,206500.0,206500.0,483133
200500.0,223500.0,200000.0,220500.0,220500.0,1048976
223000.0,238500.0,219000.0,237500.0,237500.0,1206347
245500.0,248000.0,235500.0,236500.0,236500.0,1273575
236500.0,237500.0,217000.0,219000.0,219000.0,1103324
217000.0,221000.0,212000.0,215000.0,215000.0,660987
213500.0,215000.0,207500.0,209000.0,209000.0,480288
206000.0,213000.0,205500.0,212000.0,212000.0,272922
210000.0,214000.0,207500.0,211000.0,211000.0,275279
211500.0,212500.0,205500.0,206000.0,206000.0,318824
205500.0,206500.0,197100.0,197800.0,197800.0,640073
197300.0,200500.0,191800.0,197200.0,197200.0,647233
196000.0,198500.0,192100.0,192300.0,192300.0,403130
195500.0,197400.0,188200.0,195600.0,195600.0,562950
192500.0,192800.0,187500.0,187500.0,187500.0,545983
187500.0,192400.0,187200.0,188900.0,188900.0,366631
188700.0,199300.0,187400.0,193900.0,193900.0,558522
192000.0,192300.0,188000.0,188000.0,188000.0,323661
188900.0,191500.0,185900.0,185900.0,185900.0,293847
186000.0,188600.0,185300.0,187200.0,187200.0,241561
185900.0,186700.0,178100.0,179400.0,179400.0,541076
177400.0,183000.0,177400.0,180600.0,180600.0,245074
177500.0,181600.0,174800.0,175500.0,175500.0,338241
175000.0,176700.0,170800.0,170800.0,170800.0,375404
168500.0,175900.0,165800.0,173400.0,173400.0,459614
169400.0,172000.0,156500.0,157700.0,157700.0,650001
160600.0,168700.0,160600.0,161200.0,161200.0,547461
160100.0,163900.0,158100.0,159000.0,159000.0,325827
159000.0,161700.0,152700.0,152800.0,152800.0,454652
154700.0,159000.0,152400.0,157700.0,157700.0,585403
157800.0,168700.0,157700.0,165900.0,165900.0,421851
