Date,Open,High,Low,Close,Adj Close,Volume
2022-12-08,16600.0,17000.0,16600.0,16700.0,16301.1943359375,183029.0
2022-12-09,17050.0,17450.0,16750.0,17050.0,16642.8359375,241087.0
2022-12-12,16750.0,17000.0,16650.0,16700.0,16301.1943359375,143241.0
2022-12-13,16950.0,17100.0,16650.0,16950.0,16545.224609375,180277.0
2022-12-14,17100.0,17550.0,17000.0,17300.0,16886.865234375,206244.0
2022-12-15,17150.0,17550.0,16850.0,17100.0,16691.642578125,174844.0
2022-12-16,16650.0,17000.0,16600.0,16700.0,16301.1943359375,160811.0
2022-12-19,16700.0,17250.0,16450.0,17150.0,16740.447265625,138370.0
2022-12-20,17050.0,17100.0,16450.0,16550.0,16154.7763671875,141909.0
2022-12-21,16700.0,16750.0,16150.0,16400.0,16008.3583984375,166104.0
2022-12-22,16600.0,17000.0,16500.0,16950.0,16545.224609375,225439.0
2022-12-23,16450.0,16500.0,16100.0,16150.0,15764.328125,217599.0
2022-12-26,16150.0,16550.0,15900.0,16500.0,16105.9697265625,187229.0
2022-12-27,16500.0,16900.0,16200.0,16750.0,16350.0,271007.0
2022-12-28,16550.0,16550.0,15900.0,16050.0,16050.0,263743.0
2022-12-29,15900.0,15950.0,15150.0,15400.0,15400.0,206561.0
2023-01-02,15600.0,15650.0,14850.0,15050.0,15050.0,119846.0
2023-01-03,14950.0,15700.0,14700.0,15450.0,15450.0,264777.0
2023-01-04,15350.0,17400.0,15300.0,17250.0,17250.0,868184.0
2023-01-05,17250.0,17600.0,17000.0,17050.0,17050.0,489262.0
2023-01-06,16950.0,18250.0,16900.0,18000.0,18000.0,626830.0
2023-01-09,18150.0,18400.0,17700.0,17900.0,17900.0,383541.0
2023-01-10,17900.0,18300.0,17600.0,17750.0,17750.0,300559.0
2023-01-11,18000.0,18200.0,17500.0,17600.0,17600.0,251553.0
2023-01-12,17950.0,17950.0,17250.0,17500.0,17500.0,149982.0
2023-01-13,17600.0,17650.0,17350.0,17550.0,17550.0,110096.0
2023-01-16,17600.0,17650.0,17250.0,17500.0,17500.0,151338.0
2023-01-17,17450.0,17550.0,17000.0,17100.0,17100.0,227190.0
2023-01-18,17200.0,17500.0,16900.0,17450.0,17450.0,139151.0
2023-01-19,17300.0,17600.0,16950.0,17600.0,17600.0,206517.0
2023-01-20,17450.0,17950.0,17100.0,17250.0,17250.0,229566.0
2023-01-25,17720.0,18650.0,17710.0,18600.0,18600.0,1915671.0
2023-01-26,18480.0,19200.0,18310.0,18520.0,18520.0,377979.0
2023-01-27,18540.0,18630.0,18250.0,18250.0,18250.0,213082.0
2023-01-30,18060.0,18170.0,17520.0,17520.0,17520.0,294935.0
2023-01-31,17450.0,18000.0,17450.0,17770.0,17770.0,196267.0
2023-02-01,17850.0,18430.0,17850.0,18020.0,18020.0,252551.0
2023-02-02,18750.0,18790.0,18040.0,18220.0,18220.0,392298.0
2023-02-03,18240.0,18500.0,18100.0,18280.0,18280.0,215537.0
2023-02-06,17910.0,18000.0,17520.0,17580.0,17580.0,316864.0
2023-02-07,17580.0,18400.0,17450.0,18390.0,18390.0,328073.0
2023-02-08,18530.0,18690.0,18250.0,18620.0,18620.0,206860.0
2023-02-09,18380.0,18380.0,17770.0,18160.0,18160.0,496303.0
2023-02-10,18060.0,18550.0,17900.0,17960.0,17960.0,268976.0
2023-02-13,17970.0,18230.0,17740.0,18140.0,18140.0,209848.0
2023-02-14,18300.0,18820.0,18150.0,18470.0,18470.0,461723.0
2023-02-15,18660.0,18930.0,18050.0,18270.0,18270.0,398959.0
2023-02-16,18510.0,19260.0,18370.0,19260.0,19260.0,484867.0
2023-02-17,18990.0,19000.0,18290.0,18400.0,18400.0,406072.0
2023-02-20,18380.0,18540.0,17920.0,18490.0,18490.0,224522.0
2023-02-21,18410.0,18410.0,17930.0,18070.0,18070.0,288772.0
2023-02-22,17750.0,17800.0,17430.0,17460.0,17460.0,251758.0
2023-02-23,17540.0,17980.0,17480.0,17900.0,17900.0,190007.0
2023-02-24,18080.0,18160.0,17520.0,17780.0,17780.0,192673.0
2023-02-27,17560.0,17600.0,17280.0,17400.0,17400.0,205177.0
2023-02-28,17460.0,17770.0,17380.0,17710.0,17710.0,193347.0
2023-03-02,17660.0,17930.0,17400.0,17460.0,17460.0,245250.0
2023-03-03,17500.0,17770.0,17300.0,17610.0,17610.0,232711.0
2023-03-06,17640.0,17890.0,17300.0,17840.0,17840.0,296995.0
2023-03-07,17840.0,17840.0,17470.0,17650.0,17650.0,200415.0
2023-03-08,17480.0,17880.0,17400.0,17770.0,17770.0,308285.0
2023-03-09,17970.0,18660.0,17920.0,18600.0,18600.0,748725.0
2023-03-10,18320.0,18340.0,17900.0,18060.0,18060.0,300130.0
2023-03-13,17880.0,18540.0,17750.0,18400.0,18400.0,325030.0
2023-03-14,18400.0,18400.0,16860.0,17120.0,17120.0,567368.0
2023-03-15,17410.0,17450.0,16930.0,16960.0,16960.0,325866.0
2023-03-16,16960.0,17840.0,16710.0,17610.0,17610.0,392195.0
2023-03-17,17970.0,20600.0,17960.0,20600.0,20600.0,2535896.0
2023-03-20,21050.0,21150.0,20300.0,20300.0,20300.0,1424459.0
2023-03-21,20300.0,20450.0,19700.0,20150.0,20150.0,632548.0
2023-03-22,20200.0,20800.0,19960.0,20750.0,20750.0,675698.0
2023-03-23,20500.0,20950.0,20150.0,20800.0,20800.0,680813.0
2023-03-24,21500.0,22450.0,20800.0,21100.0,21100.0,1563430.0
2023-03-27,21300.0,21350.0,20200.0,20450.0,20450.0,655082.0
2023-03-28,20400.0,21200.0,20050.0,20950.0,20950.0,636725.0
2023-03-29,21300.0,21600.0,20250.0,21100.0,21100.0,887781.0
2023-03-30,21850.0,22450.0,21500.0,21650.0,21650.0,1400832.0
2023-03-31,22150.0,22800.0,20750.0,20850.0,20850.0,956846.0
2023-04-03,20700.0,20800.0,20050.0,20550.0,20550.0,513003.0
2023-04-04,20350.0,20450.0,19760.0,19820.0,19820.0,630658.0
2023-04-05,19800.0,20400.0,19750.0,20150.0,20150.0,413307.0
2023-04-06,19920.0,19920.0,19370.0,19610.0,19610.0,396211.0
2023-04-07,20300.0,21700.0,20300.0,21100.0,21100.0,1729837.0
