Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,12450.0,12550.0,12350.0,12500.0,12323.3212890625,119509.0
2022-10-28,12500.0,12600.0,12150.0,12200.0,12027.5615234375,194915.0
2022-10-31,12350.0,12550.0,12100.0,12550.0,12372.6142578125,159174.0
2022-11-01,12550.0,12750.0,12350.0,12650.0,12471.201171875,135230.0
2022-11-02,12500.0,12800.0,12450.0,12700.0,12520.494140625,136365.0
2022-11-03,12450.0,12950.0,12450.0,12650.0,12471.201171875,183656.0
2022-11-04,12650.0,12700.0,12300.0,12400.0,12224.734375,166953.0
2022-11-07,12350.0,13000.0,12350.0,12850.0,12668.3740234375,229624.0
2022-11-08,13100.0,13300.0,12550.0,12650.0,12471.201171875,445157.0
2022-11-09,12800.0,13400.0,12650.0,13350.0,13161.3076171875,743272.0
2022-11-10,13200.0,13300.0,12300.0,12350.0,12175.44140625,985234.0
2022-11-11,12900.0,13350.0,12750.0,13350.0,13161.3076171875,843971.0
2022-11-14,13700.0,13950.0,13450.0,13550.0,13358.48046875,726996.0
2022-11-15,13550.0,14200.0,13500.0,13850.0,13654.240234375,573406.0
2022-11-16,13900.0,14600.0,13700.0,14400.0,14196.4658203125,1042396.0
2022-11-17,14250.0,14700.0,13900.0,14000.0,13802.1201171875,513196.0
2022-11-18,14000.0,14000.0,13250.0,13300.0,13112.013671875,447454.0
2022-11-21,13250.0,13450.0,13050.0,13200.0,13013.427734375,247703.0
2022-11-22,13050.0,13350.0,12850.0,12900.0,12717.66796875,300069.0
2022-11-23,13100.0,13600.0,13100.0,13600.0,13407.7734375,331124.0
2022-11-24,13700.0,14000.0,13550.0,13850.0,13654.240234375,340072.0
2022-11-25,13900.0,14600.0,13700.0,14550.0,14344.345703125,638515.0
2022-11-28,14450.0,14500.0,13750.0,13750.0,13555.6533203125,375432.0
2022-11-29,13650.0,13850.0,13400.0,13750.0,13555.6533203125,309294.0
2022-11-30,13700.0,14100.0,13650.0,13900.0,13703.533203125,197748.0
2022-12-01,14250.0,14400.0,13950.0,14000.0,13802.1201171875,367119.0
2022-12-02,14000.0,14000.0,13450.0,13550.0,13358.48046875,262804.0
2022-12-05,13600.0,13850.0,13300.0,13450.0,13259.8935546875,216936.0
2022-12-06,13200.0,13400.0,12950.0,13150.0,12964.1337890625,236761.0
2022-12-07,12950.0,13100.0,12850.0,12950.0,12766.9609375,206468.0
2022-12-08,13000.0,13100.0,12850.0,12900.0,12717.66796875,182858.0
2022-12-09,13000.0,13800.0,12900.0,13750.0,13555.6533203125,340844.0
2022-12-12,13500.0,14400.0,13500.0,14050.0,13851.4130859375,501521.0
2022-12-13,14200.0,15100.0,14050.0,15050.0,14837.279296875,1244449.0
2022-12-14,15200.0,15350.0,14850.0,15000.0,14787.9853515625,764068.0
2022-12-15,14900.0,15000.0,13950.0,14150.0,13950.0,746624.0
2022-12-16,13950.0,14050.0,13600.0,13800.0,13604.947265625,407902.0
2022-12-19,13700.0,13850.0,13600.0,13650.0,13457.0673828125,145490.0
2022-12-20,13450.0,13600.0,13150.0,13300.0,13112.013671875,287951.0
2022-12-21,13450.0,13500.0,13200.0,13400.0,13210.6005859375,237040.0
2022-12-22,13550.0,13600.0,13250.0,13550.0,13358.48046875,274955.0
2022-12-23,13300.0,13400.0,12900.0,13100.0,12914.8408203125,498662.0
2022-12-26,13150.0,13700.0,12900.0,13650.0,13457.0673828125,277848.0
2022-12-27,13650.0,14250.0,13600.0,14150.0,13950.0,464961.0
2022-12-28,13850.0,14250.0,13650.0,14000.0,14000.0,361744.0
2022-12-29,13850.0,14100.0,13300.0,13400.0,13400.0,253484.0
2023-01-02,13350.0,13650.0,12450.0,12550.0,12550.0,438467.0
2023-01-03,12650.0,12750.0,12250.0,12650.0,12650.0,253208.0
2023-01-04,12650.0,12800.0,12350.0,12750.0,12750.0,217484.0
2023-01-05,12900.0,13150.0,12800.0,13000.0,13000.0,240626.0
2023-01-06,12900.0,13100.0,12800.0,12950.0,12950.0,170055.0
2023-01-09,13200.0,13500.0,13150.0,13350.0,13350.0,206912.0
2023-01-10,13300.0,13300.0,12750.0,12900.0,12900.0,392156.0
2023-01-11,13050.0,13800.0,13000.0,13550.0,13550.0,439139.0
2023-01-12,13700.0,13850.0,13500.0,13600.0,13600.0,274749.0
2023-01-13,13700.0,13950.0,13350.0,13500.0,13500.0,281756.0
