티커,종목명,Market,BPS,PER,PBR,EPS,DIV,DPS,Stocks
071050,한국금융지주,KOSPI,145614,4.63,0.35,10900,4.55,2300,55725992.0
004990,롯데지주,KOSPI,100489,10.26,0.24,2387,6.12,1500,104909237.0
267260,HD현대일렉트릭,KOSPI,22854,15.46,3.05,4514,0.72,500,36047135.0
039490,키움증권,KOSPI,183566,5.36,0.52,17919,3.13,3000,26226706.0
000990,DB하이텍,KOSPI,37784,4.18,1.42,12858,2.42,1300,44398588.0
001450,현대해상,KOSPI,53896,3.99,0.53,7099,6.94,1965,89400000.0
111770,영원무역,KOSPI,64162,3.77,0.9,15377,2.64,1530,44311468.0
028670,팬오션,KOSPI,8404,3.47,0.52,1267,3.41,150,534569512.0
004370,농심,KOSPI,398464,23.41,1.18,20081,1.06,5000,6082642.0
081660,휠라홀딩스,KOSPI,31226,6.35,1.16,5720,4.35,1580,60752222.0
036460,한국가스공사,KOSPI,118693,1.39,0.2,17317,0.0,0,92313000.0
008930,한미사이언스,KOSPI,10673,34.21,3.24,1010,0.58,200,69956940.0
042670,HD현대인프라코어,KOSPI,8273,8.67,1.22,1163,2.38,240,199603453.0
007660,이수페타시스,KOSPI,3515,21.91,10.1,1620,0.28,100,63246419.0
014680,한솔케미칼,KOSPI,70184,12.55,2.52,14099,1.19,2100,11335195.0
000880,한화,KOSPI,70822,1.78,0.36,14169,2.98,750,74958735.0
138930,BNK금융지주,KOSPI,30468,2.75,0.22,2404,9.47,625,325935246.0
030000,제일기획,KOSPI,11967,9.96,1.59,1913,6.03,1150,115041225.0
298050,효성첨단소재,KOSPI,158341,14.9,2.64,28053,3.59,15000,4479948.0
139480,이마트,KOSPI,418373,1.89,0.17,37528,2.81,2000,27875819.0
204320,HL만도,KOSPI,45998,20.18,0.92,2096,1.18,500,46957120.0
006040,동원산업,KOSPI,69698,6.23,0.51,5748,3.07,1100,49982665.0
012750,에스원,KOSPI,45045,12.2,1.21,4467,4.59,2500,37999178.0
004170,신세계,KOSPI,418209,4.88,0.48,41282,1.86,3750,9845181.0
001040,CJ,KOSPI,191537,11.69,0.37,6023,3.55,2500,29176998.0
047040,대우건설,KOSPI,9040,3.65,0.5,1227,0.0,0,415622638.0
002380,KCC,KOSPI,695902,43.05,0.28,4564,4.07,8000,8886471.0
026960,동서,KOSPI,15510,10.6,1.16,1701,4.05,730,99700000.0
010060,OCI홀딩스,KOSPI,166136,2.67,0.59,36941,2.53,2500,16412642.0
175330,JB금융지주,KOSPI,23551,2.88,0.37,2996,9.66,835,196982894.0
079550,LIG넥스원,KOSPI,42909,13.31,1.75,5641,2.0,1500,22000000.0
005850,에스엘,KOSPI,35492,10.28,0.97,3360,1.74,600,46448520.0
000120,CJ대한통운,KOSPI,179031,9.9,0.45,8190,0.62,500,22812344.0
353200,대덕전자,KOSPI,17302,8.17,1.68,3570,1.37,400,49416925.0
011210,현대위아,KOSPI,124563,23.18,0.46,2463,1.23,700,27195083.0
017800,현대엘리베이,KOSPI,28992,22.3,1.48,1924,1.17,500,39092385.0
