Date,Open,High,Low,Close,Adj Close,Volume
2022-12-08,44450.0,44550.0,43600.0,43950.0,43705.83203125,160969.0
2022-12-09,44400.0,45750.0,44350.0,45200.0,44948.88671875,343088.0
2022-12-12,45500.0,46700.0,44850.0,44900.0,44650.5546875,352061.0
2022-12-13,45500.0,45600.0,43700.0,44250.0,44004.16796875,262089.0
2022-12-14,44350.0,45600.0,43950.0,45300.0,45048.33203125,207022.0
2022-12-15,45300.0,45500.0,43950.0,44050.0,43805.27734375,230037.0
2022-12-16,43100.0,45600.0,43050.0,45300.0,45048.33203125,283997.0
2022-12-19,45300.0,46900.0,45300.0,46850.0,46589.72265625,381536.0
2022-12-20,46450.0,46900.0,44050.0,44250.0,44004.16796875,405408.0
2022-12-21,44950.0,45250.0,44200.0,44600.0,44352.22265625,225607.0
2022-12-22,45000.0,48000.0,44350.0,47750.0,47484.72265625,804947.0
2022-12-23,46950.0,47350.0,46000.0,46050.0,45794.1640625,397595.0
2022-12-26,46150.0,46450.0,45100.0,45350.0,45098.0546875,303488.0
2022-12-27,45250.0,45850.0,44800.0,45000.0,44750.0,308344.0
2022-12-28,44900.0,45150.0,42500.0,42800.0,42800.0,490511.0
2022-12-29,42450.0,44250.0,42450.0,43850.0,43850.0,314793.0
2023-01-02,46550.0,49000.0,45950.0,48050.0,48050.0,1483247.0
2023-01-03,47500.0,50800.0,47500.0,49500.0,49500.0,1176815.0
2023-01-04,49800.0,50000.0,48350.0,48800.0,48800.0,505379.0
2023-01-05,49250.0,50100.0,48250.0,49100.0,49100.0,445150.0
2023-01-06,48700.0,49900.0,46950.0,49600.0,49600.0,580137.0
2023-01-09,50000.0,50500.0,48350.0,48800.0,48800.0,569291.0
2023-01-10,48750.0,48850.0,46850.0,47000.0,47000.0,566170.0
2023-01-11,47200.0,48150.0,47000.0,47900.0,47900.0,278938.0
2023-01-12,48550.0,49500.0,48050.0,48650.0,48650.0,429192.0
2023-01-13,48650.0,49150.0,47650.0,49050.0,49050.0,371950.0
2023-01-16,49100.0,49500.0,48100.0,48350.0,48350.0,327658.0
2023-01-17,48650.0,49250.0,48000.0,48100.0,48100.0,192916.0
2023-01-18,48100.0,49650.0,48100.0,49650.0,49650.0,407679.0
2023-01-19,49900.0,52700.0,49500.0,52600.0,52600.0,917357.0
2023-01-20,52300.0,52900.0,51100.0,51900.0,51900.0,502196.0
2023-01-25,52000.0,52100.0,50200.0,51000.0,51000.0,1461336.0
2023-01-26,51100.0,51900.0,50400.0,50900.0,50900.0,408397.0
2023-01-27,50700.0,51900.0,50600.0,51500.0,51500.0,321643.0
2023-01-30,51400.0,51900.0,50600.0,50800.0,50800.0,295372.0
2023-01-31,50100.0,52300.0,50000.0,51900.0,51900.0,382341.0
2023-02-01,52000.0,52400.0,51300.0,52000.0,52000.0,239188.0
2023-02-02,52300.0,52900.0,51200.0,51700.0,51700.0,373732.0
2023-02-03,51900.0,53400.0,51600.0,52800.0,52800.0,516089.0
2023-02-06,52800.0,53200.0,52000.0,52200.0,52200.0,249838.0
2023-02-07,52400.0,53000.0,51700.0,52200.0,52200.0,298839.0
2023-02-08,52700.0,53700.0,52200.0,53300.0,53300.0,443590.0
2023-02-09,53300.0,54000.0,52700.0,53200.0,53200.0,318070.0
2023-02-10,54100.0,55000.0,52500.0,52600.0,52600.0,825218.0
2023-02-13,52900.0,53800.0,51800.0,52000.0,52000.0,298458.0
2023-02-14,52000.0,52800.0,51400.0,52300.0,52300.0,253823.0
2023-02-15,52400.0,52600.0,50300.0,50600.0,50600.0,393207.0
2023-02-16,51100.0,52900.0,50900.0,52800.0,52800.0,328850.0
2023-02-17,51800.0,52300.0,50500.0,50800.0,50800.0,276913.0
2023-02-20,51200.0,53400.0,50800.0,53200.0,53200.0,449489.0
2023-02-21,52800.0,54200.0,52000.0,53900.0,53900.0,340805.0
2023-02-22,53000.0,55400.0,53000.0,54500.0,54500.0,571923.0
2023-02-23,54800.0,55000.0,53700.0,54800.0,54800.0,346688.0
2023-02-24,54300.0,54500.0,52700.0,53100.0,53100.0,350534.0
2023-02-27,53100.0,54600.0,52800.0,53900.0,53900.0,294718.0
2023-02-28,54200.0,58100.0,53900.0,58000.0,58000.0,1009174.0
2023-03-02,58000.0,58900.0,57400.0,57500.0,57500.0,420985.0
2023-03-03,57700.0,58700.0,56200.0,57100.0,57100.0,364172.0
2023-03-06,56800.0,58000.0,56000.0,57200.0,57200.0,373402.0
2023-03-07,58300.0,60700.0,57600.0,59500.0,59500.0,932319.0
2023-03-08,59900.0,62400.0,59800.0,60300.0,60300.0,737212.0
2023-03-09,60400.0,60400.0,57900.0,58400.0,58400.0,425873.0
2023-03-10,57500.0,59500.0,57200.0,57500.0,57500.0,340292.0
2023-03-13,56300.0,56700.0,53400.0,54600.0,54600.0,716318.0
2023-03-14,55000.0,55000.0,52800.0,53200.0,53200.0,424000.0
2023-03-15,54200.0,54600.0,52100.0,52800.0,52800.0,443552.0
2023-03-16,52200.0,52800.0,51300.0,51900.0,51900.0,278293.0
2023-03-17,53300.0,55800.0,53000.0,55100.0,55100.0,499508.0
2023-03-20,55500.0,55500.0,54200.0,54700.0,54700.0,231373.0
2023-03-21,55600.0,57700.0,55500.0,56500.0,56500.0,488702.0
2023-03-22,57000.0,57000.0,55400.0,55500.0,55500.0,286518.0
2023-03-23,54700.0,55900.0,53900.0,55200.0,55200.0,329437.0
2023-03-24,55800.0,57700.0,55000.0,57300.0,57300.0,441416.0
2023-03-27,57200.0,57600.0,55400.0,56300.0,56300.0,348097.0
2023-03-28,56800.0,58100.0,56300.0,58000.0,58000.0,441296.0
2023-03-29,57500.0,57900.0,56800.0,57600.0,57600.0,250845.0
2023-03-30,57700.0,57900.0,56200.0,57000.0,57000.0,290373.0
2023-03-31,57000.0,57900.0,56200.0,56700.0,56700.0,213198.0
2023-04-03,56500.0,57500.0,55500.0,55800.0,55800.0,321418.0
2023-04-04,56200.0,57500.0,55600.0,57100.0,57100.0,312676.0
2023-04-05,57000.0,57400.0,56200.0,56600.0,56600.0,198776.0
2023-04-06,56600.0,59400.0,56300.0,57800.0,57800.0,661967.0
2023-04-07,58900.0,61500.0,57600.0,61500.0,61500.0,688158.0
2023-04-10,61700.0,62400.0,59700.0,60500.0,60500.0,534574.0
2023-04-11,60300.0,61200.0,59600.0,60600.0,60600.0,300040.0
2023-04-12,61000.0,61500.0,59800.0,61200.0,61200.0,292405.0
2023-04-13,61300.0,63700.0,61000.0,63100.0,63100.0,776709.0
2023-04-14,63600.0,65900.0,62900.0,63100.0,63100.0,735048.0
2023-04-17,64500.0,66200.0,63500.0,64100.0,64100.0,580482.0
2023-04-18,64300.0,65800.0,62700.0,63000.0,63000.0,404073.0
2023-04-19,62700.0,63400.0,61500.0,61800.0,61800.0,290488.0
2023-04-20,61500.0,62000.0,59700.0,60300.0,60300.0,499710.0
2023-04-21,59900.0,60300.0,58100.0,59000.0,59000.0,363567.0
2023-04-24,59200.0,60700.0,58600.0,59900.0,59900.0,237909.0
2023-04-25,59900.0,60200.0,58100.0,58500.0,58500.0,252094.0
2023-04-26,59000.0,62200.0,58600.0,61200.0,61200.0,472518.0
2023-04-27,61200.0,61900.0,60600.0,61500.0,61500.0,221506.0
2023-04-28,62100.0,63000.0,60500.0,61000.0,61000.0,283354.0
2023-05-02,61000.0,64700.0,61000.0,64100.0,64100.0,485632.0
2023-05-03,63700.0,66800.0,63500.0,66200.0,66200.0,617903.0
2023-05-04,66600.0,66900.0,64300.0,65700.0,65700.0,291624.0
2023-05-08,66100.0,66200.0,62600.0,63100.0,63100.0,439054.0
2023-05-09,63000.0,63500.0,61700.0,62200.0,62200.0,180415.0
2023-05-10,62600.0,65100.0,62200.0,65000.0,65000.0,409502.0
2023-05-11,66000.0,67500.0,62500.0,66700.0,66700.0,928650.0
2023-05-12,72500.0,79500.0,71300.0,78100.0,78100.0,4473376.0
2023-05-15,77700.0,79800.0,77300.0,77700.0,77700.0,1034825.0
2023-05-16,79200.0,86400.0,79000.0,85000.0,85000.0,2684371.0
2023-05-17,83800.0,92900.0,83600.0,91300.0,91300.0,1907723.0
2023-05-18,90600.0,95400.0,90000.0,92600.0,92600.0,1062530.0
2023-05-19,93300.0,94200.0,89500.0,92000.0,92000.0,1099330.0
2023-05-22,92200.0,93300.0,89700.0,90800.0,90800.0,624234.0
2023-05-23,90900.0,94600.0,90200.0,92800.0,92800.0,682324.0
2023-05-24,93700.0,94000.0,90300.0,92600.0,92600.0,521698.0
2023-05-25,91600.0,93600.0,90800.0,91300.0,91300.0,392083.0
2023-05-26,90900.0,95000.0,90600.0,92000.0,92000.0,658129.0
2023-05-30,92700.0,96500.0,91500.0,95200.0,95200.0,746238.0
2023-05-31,94300.0,97000.0,92000.0,93900.0,93900.0,575340.0
2023-06-01,94200.0,96800.0,93400.0,94700.0,94700.0,521602.0
2023-06-02,94800.0,94800.0,90800.0,92200.0,92200.0,527083.0
2023-06-05,92300.0,92600.0,90200.0,91100.0,91100.0,426092.0
2023-06-07,89100.0,89700.0,84300.0,84600.0,84600.0,1359180.0
