Date,Open,High,Low,Close,Adj Close,Volume
2022-12-08,70500.0,70700.0,65800.0,65900.0,64811.5625,293860.0
2022-12-09,66700.0,68300.0,66300.0,67000.0,65893.390625,124869.0
2022-12-12,66400.0,68000.0,65500.0,65500.0,64418.16796875,92890.0
2022-12-13,66000.0,66100.0,64000.0,64300.0,63237.98828125,95249.0
2022-12-14,65000.0,67300.0,64800.0,67100.0,65991.7421875,120192.0
2022-12-15,66700.0,67000.0,65000.0,65100.0,64024.77734375,108440.0
2022-12-16,65000.0,66400.0,64200.0,66000.0,64909.91015625,148690.0
2022-12-19,66100.0,74100.0,65600.0,71300.0,70122.375,780531.0
2022-12-20,70300.0,70600.0,67800.0,68400.0,67270.2734375,286513.0
2022-12-21,68400.0,68400.0,65500.0,66200.0,65106.60546875,270077.0
2022-12-22,66700.0,69300.0,66500.0,68000.0,66876.875,169434.0
2022-12-23,67000.0,67400.0,66200.0,66500.0,65401.65234375,140037.0
2022-12-26,67100.0,68300.0,66200.0,68200.0,67073.578125,124622.0
2022-12-27,68200.0,69100.0,66300.0,66600.0,65500.0,189497.0
2022-12-28,66700.0,68600.0,66300.0,67300.0,67300.0,167713.0
2022-12-29,67300.0,67900.0,66600.0,66700.0,66700.0,88346.0
2023-01-02,67700.0,69700.0,66500.0,66700.0,66700.0,164164.0
2023-01-03,66800.0,66800.0,62900.0,64900.0,64900.0,216200.0
2023-01-04,64700.0,65500.0,63900.0,65100.0,65100.0,74993.0
2023-01-05,66600.0,67700.0,65500.0,65700.0,65700.0,183802.0
2023-01-06,65300.0,68000.0,65300.0,67100.0,67100.0,188795.0
2023-01-09,69000.0,72000.0,67900.0,69900.0,69900.0,563146.0
2023-01-10,70200.0,71400.0,68800.0,69000.0,69000.0,238401.0
2023-01-11,69300.0,70000.0,68000.0,68000.0,68000.0,179221.0
2023-01-12,68400.0,68400.0,67500.0,67800.0,67800.0,116685.0
2023-01-13,68000.0,68400.0,67300.0,67500.0,67500.0,112910.0
2023-01-16,67400.0,68900.0,67400.0,67700.0,67700.0,133539.0
2023-01-17,68700.0,69000.0,67600.0,67700.0,67700.0,155343.0
2023-01-18,68400.0,70200.0,68200.0,69500.0,69500.0,314045.0
2023-01-19,68500.0,70300.0,68000.0,69500.0,69500.0,191675.0
2023-01-20,69600.0,70500.0,68500.0,70200.0,70200.0,198143.0
2023-01-25,73300.0,91200.0,72300.0,91200.0,91200.0,11347640.0
2023-01-26,98000.0,102500.0,93200.0,96200.0,96200.0,3902574.0
2023-01-27,93800.0,98400.0,93300.0,95400.0,95400.0,1322247.0
2023-01-30,95300.0,96000.0,92100.0,94300.0,94300.0,1001950.0
2023-01-31,98100.0,98300.0,93400.0,93500.0,93500.0,1157382.0
2023-02-01,97000.0,101300.0,96100.0,96900.0,96900.0,2465546.0
2023-02-02,95800.0,97500.0,95100.0,96000.0,96000.0,550912.0
2023-02-03,96300.0,96400.0,92600.0,93800.0,93800.0,525945.0
2023-02-06,89000.0,89800.0,84700.0,85100.0,85100.0,1134995.0
2023-02-07,85000.0,87200.0,80900.0,83800.0,83800.0,884634.0
2023-02-08,82600.0,84100.0,81800.0,83100.0,83100.0,627590.0
2023-02-09,84300.0,85400.0,83000.0,83700.0,83700.0,655311.0
2023-02-10,83100.0,83100.0,77500.0,78900.0,78900.0,642721.0
2023-02-13,78900.0,80200.0,78100.0,78900.0,78900.0,296180.0
2023-02-14,78500.0,79400.0,77000.0,77000.0,77000.0,252681.0
2023-02-15,77300.0,78200.0,75300.0,75800.0,75800.0,264844.0
2023-02-16,75800.0,78100.0,75800.0,77600.0,77600.0,226982.0
2023-02-17,78000.0,78600.0,75700.0,76200.0,76200.0,202892.0
2023-02-20,76200.0,77100.0,75100.0,76400.0,76400.0,132163.0
2023-02-21,76400.0,76600.0,75100.0,75500.0,75500.0,149405.0
2023-02-22,74600.0,75300.0,73300.0,73700.0,73700.0,193728.0
2023-02-23,74200.0,75400.0,74000.0,74600.0,74600.0,153235.0
2023-02-24,74700.0,75500.0,73500.0,74200.0,74200.0,163646.0
2023-02-27,73700.0,74300.0,71200.0,74000.0,74000.0,145177.0
2023-02-28,74100.0,77000.0,73500.0,75800.0,75800.0,202033.0
2023-03-02,75000.0,75500.0,72500.0,72600.0,72600.0,234356.0
2023-03-03,73200.0,73800.0,71700.0,72200.0,72200.0,137160.0
2023-03-06,73000.0,75700.0,73000.0,75100.0,75100.0,261295.0
2023-03-07,75500.0,75500.0,72200.0,73200.0,73200.0,203712.0
2023-03-08,72900.0,76700.0,71100.0,73700.0,73700.0,496623.0
2023-03-09,67000.0,67400.0,64100.0,64300.0,64300.0,790713.0
2023-03-10,63200.0,66400.0,63200.0,65100.0,65100.0,323514.0
2023-03-13,64200.0,65400.0,63500.0,65100.0,65100.0,159776.0
2023-03-14,64400.0,65600.0,63400.0,63400.0,63400.0,164521.0
2023-03-15,64100.0,64500.0,62800.0,63100.0,63100.0,159756.0
2023-03-16,63000.0,63700.0,62300.0,62800.0,62800.0,117704.0
2023-03-17,63300.0,64800.0,63300.0,64500.0,64500.0,147846.0
2023-03-20,64800.0,64900.0,63700.0,63800.0,63800.0,61409.0
2023-03-21,64500.0,64600.0,63000.0,63300.0,63300.0,67653.0
2023-03-22,63400.0,63800.0,62500.0,62800.0,62800.0,87224.0
2023-03-23,62500.0,63000.0,61700.0,62200.0,62200.0,99935.0
2023-03-24,62300.0,63200.0,61800.0,62500.0,62500.0,79315.0
