티커,종목명,Market,BPS,PER,PBR,EPS,DIV,DPS,Stocks
247540,에코프로비엠,KOSDAQ GLOBAL,13962,79.83,16.47,2881,0.2,450,97801344.0
086520,에코프로,KOSDAQ,50778,445.14,12.54,1431,0.08,500,26627668.0
066970,엘앤에프,KOSDAQ GLOBAL,38454,18.12,3.9,8269,0.33,500,36239776.0
041510,에스엠,KOSDAQ,29467,31.18,3.59,3390,1.14,1200,23830901.0
393890,더블유씨피,KOSDAQ,27737,21.44,1.5,1940,0.0,0,33696518.0
058470,리노공업,KOSDAQ GLOBAL,32491,19.25,4.46,7534,2.07,3000,15242370.0
357780,솔브레인,KOSDAQ,100423,11.4,2.38,20967,0.84,2000,7778566.0
005290,동진쎄미켐,KOSDAQ,13553,10.54,2.41,3102,0.4,130,51414494.0
214150,클래시스,KOSDAQ GLOBAL,3564,29.53,9.65,1165,0.34,116,64776702.0
039030,이오테크닉스,KOSDAQ GLOBAL,43984,25.08,3.59,6293,0.63,1000,12319550.0
278280,천보,KOSDAQ GLOBAL,34549,27.16,2.96,3763,0.49,500,10000000.0
121600,나노신소재,KOSDAQ,18750,68.8,6.65,1811,0.2,250,11707348.0
240810,원익IPS,KOSDAQ GLOBAL,18174,18.45,1.88,1854,0.58,200,49083901.0
137400,피엔티,KOSDAQ GLOBAL,10866,19.3,4.8,2704,0.19,100,22741198.0
372170,윤성에프앤씨,KOSDAQ,17264,31.16,6.84,3790,0.13,150,7979048.0
365340,성일하이텍,KOSDAQ,24421,25.8,4.07,3856,0.0,0,12003172.0
095340,ISC,KOSDAQ,16085,31.71,4.98,2526,0.75,600,17399471.0
253450,스튜디오드래곤,KOSDAQ,21982,31.35,2.4,1684,0.0,0,30058498.0
086900,메디톡스,KOSDAQ,67873,39.05,3.18,5518,0.46,1000,7298468.0
214450,파마리서치,KOSDAQ GLOBAL,34433,29.14,3.44,4067,0.56,660,10296563.0
056190,에스에프에이,KOSDAQ GLOBAL,31974,13.17,0.91,2213,2.98,870,35908760.0
140860,파크시스템스,KOSDAQ,17308,37.55,8.81,4061,0.26,400,6963299.0
383310,에코프로에이치엔,KOSDAQ,5677,29.11,10.85,2116,0.97,600,15304932.0
122870,와이지엔터테인먼트,KOSDAQ,22130,32.93,2.72,1828,0.42,250,18676749.0
145020,휴젤,KOSDAQ GLOBAL,67095,29.39,2.11,4811,0.0,0,12385455.0
036930,주성엔지니어링,KOSDAQ GLOBAL,10119,12.6,2.75,2211,0.69,193,48249212.0
420770,기가비스,KOSDAQ,9464,23.83,6.87,2728,1.15,750,12675758.0
096530,씨젠,KOSDAQ,23037,5.62,0.87,3586,3.97,800,52225994.0
064760,티씨케이,KOSDAQ GLOBAL,35707,10.51,2.37,8056,2.01,1700,11675000.0
348370,엔켐,KOSDAQ,17886,37.0,2.94,1419,0.0,0,16198146.0
222800,심텍,KOSDAQ,19171,4.67,1.88,7719,1.39,500,31854143.0
213420,덕산네오룩스,KOSDAQ GLOBAL,12991,26.46,3.21,1574,0.0,0,24831179.0
067160,아프리카TV,KOSDAQ,22106,11.9,2.93,5445,1.13,730,11494767.0
195940,HK이노엔,KOSDAQ GLOBAL,41095,31.07,1.01,1342,0.77,320,28329891.0
166090,하나머티리얼즈,KOSDAQ GLOBAL,15244,12.23,3.29,4105,1.2,600,19752674.0
348210,넥스틴,KOSDAQ GLOBAL,10101,13.2,5.79,4433,0.85,500,10196878.0
272290,이녹스첨단소재,KOSDAQ GLOBAL,19465,6.51,1.44,4316,1.6,450,20201658.0
189300,인텔리안테크,KOSDAQ,19326,42.34,3.8,1736,0.14,100,10729669.0
003380,하림지주,KOSDAQ GLOBAL,29169,2.49,0.23,2736,1.76,120,112005621.0
025900,동화기업,KOSDAQ,36422,30.2,1.74,2099,0.0,0,20215395.0
084370,유진테크,KOSDAQ GLOBAL,14595,25.52,2.97,1697,0.62,270,22916042.0
074600,원익QnC,KOSDAQ GLOBAL,14286,12.48,1.79,2048,0.59,150,26288000.0
078340,컴투스,KOSDAQ,95809,16.01,0.47,2807,2.89,1300,12866420.0
131970,두산테스나,KOSDAQ,21119,17.05,2.49,3080,0.3,160,14759577.0
053800,안랩,KOSDAQ,29416,40.47,2.24,1631,1.67,1100,10013855.0
091120,이엠텍,KOSDAQ,15775,24.69,3.32,2118,0.29,150,17132936.0
215000,골프존,KOSDAQ GLOBAL,59058,4.84,1.5,18293,5.08,4500,6275415.0
319660,피에스케이,KOSDAQ GLOBAL,12197,7.09,1.55,2665,2.12,400,28966714.0
031980,피에스케이홀딩스,KOSDAQ,13849,15.57,2.23,1982,1.62,500,21562395.0
183300,코미코,KOSDAQ GLOBAL,25921,11.62,1.89,4213,2.04,1000,10460684.0
086450,동국제약,KOSDAQ GLOBAL,11419,13.42,1.41,1203,1.11,180,44460000.0
144510,지씨셀,KOSDAQ,35857,17.73,0.82,1664,1.19,350,15800344.0
215200,메가스터디교육,KOSDAQ GLOBAL,35711,7.15,1.76,8793,3.34,2100,11861880.0
036810,에프에스티,KOSDAQ,12460,9.43,1.7,2242,0.47,100,21756789.0
036830,솔브레인홀딩스,KOSDAQ GLOBAL,55592,10.94,0.61,3107,0.5,170,20964056.0
053610,프로텍,KOSDAQ,30100,10.4,1.6,4626,1.04,500,11000000.0
360070,탑머티리얼,KOSDAQ,12065,40.38,5.51,1647,0.0,0,7984343.0
064290,인텍플러스,KOSDAQ,5469,23.2,5.66,1334,0.65,200,12779962.0
023160,태광,KOSDAQ,18560,11.4,0.85,1383,1.08,170,26500000.0
131290,티에스이,KOSDAQ GLOBAL,26649,8.83,1.53,4614,1.23,500,11061429.0
032190,다우데이타,KOSDAQ,29654,2.34,0.42,5319,2.42,300,38300000.0
079370,제우스,KOSDAQ,27268,10.29,1.31,3464,0.98,350,10339000.0
049070,인탑스,KOSDAQ GLOBAL,38127,4.3,0.69,6147,3.25,860,17200000.0
069080,웹젠,KOSDAQ GLOBAL,19416,5.72,0.72,2441,2.65,370,34950884.0
200130,콜마비앤에이치,KOSDAQ GLOBAL,13595,12.05,1.22,1371,1.86,308,29543558.0
043150,바텍,KOSDAQ,23514,5.96,1.31,5176,0.32,100,14854256.0
073570,리튬포어스,KOSDAQ,6722,1.71,1.26,4957,0.0,0,28867125.0
354320,알멕,KOSDAQ,15547,37.54,3.03,1256,0.0,0,5966381.0
042600,새로닉스,KOSDAQ,16261,3.64,1.65,7365,0.0,0,12423574.0
060720,KH바텍,KOSDAQ,10166,13.72,1.48,1094,2.0,300,23677442.0
033640,네패스,KOSDAQ,10934,5.08,1.58,3399,0.0,0,23059202.0
083310,엘오티베큠,KOSDAQ,12896,15.61,1.8,1486,0.43,100,17810033.0
425040,티이엠씨,KOSDAQ,11340,7.0,3.0,4855,0.0,0,10626114.0
049950,미래컴퍼니,KOSDAQ,16837,7.36,1.63,3737,1.09,300,8817884.0
082920,비츠로셀,KOSDAQ,8768,16.35,2.03,1089,1.12,200,22141695.0
352480,씨앤씨인터내셔널,KOSDAQ,13422,34.02,4.17,1646,0.0,0,10013941.0
107600,새빗켐,KOSDAQ,12989,32.12,4.57,1846,0.51,300,4861545.0
118990,모트렉스,KOSDAQ,7276,9.68,2.1,1580,1.61,246,24495500.0
119610,인터로조,KOSDAQ,15175,16.34,2.06,1910,1.92,600,13216478.0
014620,성광벤드,KOSDAQ,16891,9.74,0.81,1405,0.73,100,28600000.0
095610,테스,KOSDAQ GLOBAL,17483,8.24,1.22,2580,2.35,500,19768226.0
389260,대명에너지,KOSDAQ,6278,10.85,2.78,1607,0.0,0,17050000.0
151860,KG ETS,KOSDAQ,22772,0.83,0.5,13572,1.32,150,36000000.0
101160,월덱스,KOSDAQ,11274,9.61,2.14,2514,0.21,50,16510993.0
089970,에이피티씨,KOSDAQ,5529,10.14,2.38,1298,0.0,0,23980595.0
039440,에스티아이,KOSDAQ,14767,15.41,2.09,1999,0.81,250,15830000.0
243070,휴온스,KOSDAQ GLOBAL,23877,20.74,1.65,1897,1.52,600,11935549.0
