티커,BPS,PER,PBR,EPS,DIV,DPS
114450,2632,0.0,0.78,0,0.0,0
186230,5635,0.0,1.19,0,0.0,0
204620,1630,0.0,3.45,0,0.0,0
019660,429,0.0,3.57,0,0.0,0
053260,7727,16.17,0.69,332,2.23,120
282720,6763,15.14,1.89,842,2.66,339
036190,50316,5.57,0.52,4707,4.96,1300
049080,718,0.0,1.78,0,0.0,0
420770,9464,23.83,6.87,2728,1.15,750
035460,2435,12.18,1.05,209,0.0,0
308100,9442,0.0,0.52,0,0.0,0
407400,1106,57.44,8.73,168,0.0,0
187790,883,0.0,1.41,0,0.0,0
286750,496,0.0,6.53,0,0.0,0
121600,18750,68.8,6.65,1811,0.2,250
247660,7261,306.53,2.07,49,0.0,0
039860,2150,19.94,1.61,174,0.0,0
091970,1050,0.0,0.94,0,0.0,0
417010,1067,67.53,15.38,243,0.0,0
405920,4774,5.12,1.08,1005,0.0,0
051490,6665,8.01,0.85,704,1.24,70
137080,9763,25.82,0.61,232,1.67,100
190510,7719,5.74,1.58,2119,0.0,0
242040,1193,200.0,1.68,10,0.0,0
089600,18182,8.4,1.1,2375,3.51,700
293580,996,14.03,1.24,88,1.46,18
138610,3696,0.0,4.52,0,0.0,0
130580,5448,6.81,1.11,889,3.01,182
036800,33633,4.92,0.64,4358,3.03,650
267320,671,3295.0,4.91,1,0.0,0
111710,8185,6.0,0.74,1003,4.98,300
091590,14298,3.74,0.45,1719,3.11,200
168330,1123,0.0,1.95,0,0.0,0
094860,372,0.0,0.8,0,0.0,0
253590,1714,14.29,2.28,273,0.9,35
212560,12301,6.9,0.56,997,1.45,100
095660,21772,46.08,1.32,625,0.0,0
042420,48255,0.0,0.44,0,0.0,0
311390,6133,0.0,1.19,0,0.0,0
085910,4291,8.09,0.76,405,7.63,250
092730,18184,11.67,1.4,2177,2.76,700
290660,337,0.0,3.76,0,0.0,0
306620,1135,0.0,2.35,0,0.0,0
153460,5096,8.92,1.44,824,0.0,0
007390,913,0.0,7.85,0,0.0,0
033640,10934,5.08,1.58,3399,0.0,0
330860,21047,9.14,0.92,2109,0.0,0
089140,13940,0.0,0.37,0,0.0,0
137940,1304,0.0,0.48,0,0.0,0
396270,2260,0.0,6.99,0,0.0,0
348210,10101,13.2,5.79,4433,0.85,500
225570,3718,144.45,4.27,110,0.0,0
217270,8628,0.0,0.86,0,0.0,0
104620,2075,0.0,3.23,0,0.0,0
194700,10231,10.79,1.27,1206,1.15,150
285490,12583,14.73,1.92,1639,0.83,200
106520,1432,0.0,0.29,0,0.0,0
376930,428,0.0,10.72,0,0.0,0
142280,1577,0.0,2.45,0,0.0,0
234690,5417,14.01,1.17,451,1.58,100
065560,3562,0.0,3.24,0,0.0,0
054050,15560,12.55,0.5,616,2.59,200
069140,3169,0.0,1.18,0,0.0,0
040160,7039,84.82,0.66,55,0.0,0
332290,866,0.0,2.01,0,0.0,0
348340,3844,0.0,8.64,0,0.0,0
060260,439,0.0,1.82,0,0.0,0
012340,520,0.0,2.05,0,0.0,0
214870,0,0.0,0.0,0,0.0,0
270870,10818,11.88,0.58,528,3.99,250
144960,5561,8.22,0.92,619,0.98,50
085670,2704,7.06,1.55,595,0.0,0
064260,4804,0.0,0.81,0,0.0,0
340360,468,0.0,4.65,0,0.0,0
039560,10652,0.67,0.35,5509,0.0,0
154040,2011,6.16,0.89,290,0.0,0
032190,29654,2.34,0.42,5319,2.42,300
068240,6014,0.0,2.38,0,0.0,0
020400,14688,14.18,0.66,684,0.62,60
008830,8267,18.98,1.08,470,0.45,40
048470,7207,0.0,0.5,0,0.84,30
004780,8206,6.39,0.48,610,2.56,100
017650,28061,2.86,0.28,2741,1.27,100
007720,1141,0.0,0.51,0,0.0,0
389260,6278,10.85,2.78,1607,0.0,0
317850,5713,60.45,1.64,155,0.96,90
290670,10708,9.42,2.59,2941,0.0,0
078140,10701,11.18,0.82,788,0.57,50
036480,10220,24.58,1.08,448,0.68,75
027830,1388,105.79,1.45,19,0.0,0
104040,1685,0.0,0.68,0,0.0,0
129920,4996,37.14,1.43,192,0.0,0
438220,0,0.0,0.0,0,0.0,0
442310,0,0.0,0.0,0,0.0,0
457390,0,0.0,0.0,0,0.0,0
457630,0,0.0,0.0,0,0.0,0
020180,744,0.0,1.69,0,1.59,20
045390,1561,27.39,2.09,119,0.0,0
108380,23432,0.0,0.49,0,0.0,0
006580,6960,0.0,0.45,0,1.29,40
007680,25597,3.44,0.2,1455,5.99,300
048910,7889,24.53,1.44,464,0.88,100
005710,20844,3.02,0.27,1879,3.09,175
290380,4311,0.0,0.53,0,0.0,0
290120,7447,1.66,0.46,2066,5.82,200
120240,20442,8.65,0.81,1916,2.41,400
003310,1949,13.85,0.87,123,2.05,35
078600,8056,1082.09,9.0,67,0.14,100
096350,166,0.0,2.92,0,0.0,0
140520,7269,0.99,0.36,2641,5.74,150
131220,4889,9.77,1.31,657,0.93,60
010170,1420,0.0,1.04,0,0.0,0
054670,7336,5.02,1.19,1733,1.15,100
023910,38333,6.53,0.71,4171,2.39,650
021040,6340,0.0,0.63,0,0.0,0
021045,0,0.0,0.0,0,0.0,0
067080,4452,174.84,2.51,64,1.34,150
298540,19725,4.76,1.14,4717,1.78,400
032860,1411,0.0,2.58,0,0.0,0
393890,27737,21.44,1.5,1940,0.0,0
299170,1259,13.66,1.57,145,0.0,0
224060,14734,0.0,0.39,0,0.0,0
213420,12991,26.46,3.21,1574,0.0,0
317330,10385,20.55,1.75,885,0.0,0
077360,6480,49.85,1.03,134,0.0,0
090410,1972,9.16,1.02,220,0.99,20
263600,6918,8.73,1.06,840,0.95,70
194480,16951,0.0,2.96,0,0.0,0
263800,1934,35.47,2.71,148,0.0,0
206560,2122,0.0,3.22,0,0.0,0
261200,2073,104.53,4.34,86,0.0,0
067990,11515,4.19,0.44,1213,7.09,360
006620,3696,21.68,1.4,238,2.13,110
100130,4637,0.0,0.62,0,0.0,0
005160,7762,36.16,0.58,125,2.88,130
075970,4331,15.28,0.76,214,2.45,80
086450,11419,13.42,1.41,1203,1.11,180
099410,2237,24.95,1.06,95,0.0,0
033500,5159,41.29,2.36,295,2.87,350
025950,10664,26.37,1.79,722,0.79,150
088130,17660,36.03,0.31,151,3.68,200
041930,9336,7.28,0.79,1017,1.62,120
060380,3966,8.11,0.53,257,2.4,50
079960,35453,6.57,0.54,2921,1.56,300
228340,6146,10.31,0.41,245,0.0,0
088910,7525,4.52,0.38,628,0.0,0
094170,1227,0.0,15.05,0,0.0,0
013120,11288,3.54,0.28,905,4.99,160
109860,18061,5.89,0.54,1646,4.13,400
032960,17356,40.83,0.73,312,0.27,35
023790,2298,0.0,0.54,0,0.0,0
005290,13553,10.54,2.41,3102,0.4,130
025900,36422,30.2,1.74,2099,0.0,0
131970,21119,17.05,2.49,3080,0.3,160
073190,1865,0.0,1.33,0,0.0,0
030350,972,0.0,0.51,0,0.0,0
203650,1683,17.23,1.95,191,0.0,0
223250,2127,20.05,1.83,194,0.0,0
060570,2951,5.93,0.96,480,0.0,0
217620,214,0.0,3.74,0,0.0,0
016670,515,0.0,0.66,0,0.0,0
187870,19571,8.54,0.68,1560,1.58,210
066670,10086,12.32,0.53,435,0.93,50
110990,9727,39.76,2.08,508,1.49,300
263690,6684,7.69,1.5,1306,3.16,317
214680,1041,42.52,4.21,103,0.0,0
263720,6066,38.08,3.16,504,0.0,0
376300,5988,46.65,5.7,732,0.0,0
141020,109,0.0,34.27,0,0.0,0
109740,5020,0.0,1.04,0,0.0,0
196490,2984,0.0,1.04,0,0.0,0
066900,7244,5.68,0.41,518,0.0,0
127120,1632,0.0,2.14,0,0.0,0
092070,13033,36.71,1.41,499,1.09,200
039840,11250,0.0,2.13,0,0.0,0
219550,1217,33.2,0.82,30,0.0,0
310870,2247,8.56,0.8,210,0.0,0
104460,11057,0.0,1.83,0,0.5,100
079810,1332,0.0,14.14,0,0.0,0
113810,499,0.0,2.12,0,0.0,0
043360,5011,34.94,0.54,77,0.0,0
197140,4799,47.02,1.02,104,0.61,30
068930,5758,8.63,1.01,673,3.44,200
033130,2204,27.67,0.94,75,0.96,20
105740,12310,13.24,0.74,685,2.21,200
263020,4112,5.55,0.64,473,1.9,50
290550,6123,6.92,1.35,1193,0.0,0
187220,8768,31.25,0.44,124,0.0,0
383930,3668,7.35,1.04,517,0.0,0
131180,2103,12.52,0.56,94,3.4,40
315640,1039,0.0,24.06,0,0.0,0
317120,1487,0.0,3.11,0,0.0,0
042510,983,13.2,2.31,172,0.0,0
232680,2252,14.91,3.99,603,0.56,50
418420,300,310.87,23.83,23,0.0,0
300120,2616,0.0,2.23,0,0.86,50
171120,3414,13.7,0.99,247,5.91,200
388790,1902,0.0,1.65,0,0.0,0
069540,2214,0.0,1.08,0,0.0,0
347700,837,0.0,3.73,0,0.0,0
214260,4840,0.0,4.24,0,0.0,0
200350,6554,0.0,1.56,0,0.0,0
171010,3731,11.74,1.37,436,0.0,0
084650,3079,4.97,1.15,715,0.0,0
217500,1830,26.15,1.61,113,1.02,30
141080,8611,0.0,4.52,0,0.0,0
038390,23494,5.68,0.63,2589,6.12,900
294140,306,0.0,7.43,0,0.0,0
443250,2754,842.35,5.2,17,0.0,0
228670,8300,37.8,2.46,541,0.0,0
228850,14282,6.62,0.65,1401,3.24,300
412350,4176,0.0,2.62,0,0.0,0
281740,1310,29.76,9.34,411,0.0,0
277810,3663,430.34,41.82,356,0.0,0
215100,1459,0.0,3.19,0,0.0,0
090360,9222,78.78,2.88,337,0.0,0
108490,7148,0.0,3.59,0,0.0,0
067730,1764,162.38,1.93,21,1.76,60
071280,7003,4.34,0.84,1358,0.85,50
328130,5439,0.0,33.2,0,0.0,0
038060,1992,3.86,0.66,338,0.0,0
060240,1490,0.0,0.84,0,0.0,0
058470,32491,19.25,4.46,7534,2.07,3000
039980,1554,0.0,0.55,0,0.0,0
019570,768,0.0,0.87,0,0.0,0
016100,2357,0.0,1.06,0,0.0,0
012700,16662,4.33,0.32,1250,14.79,800
302550,4883,25.51,3.41,653,0.0,0
073570,6722,1.71,1.26,4957,0.0,0
377450,8818,6.86,0.85,1095,0.0,0
277070,4210,19.81,1.26,267,0.53,28
042500,6765,4.87,0.58,810,0.0,0
219420,3754,33.26,1.52,172,0.0,0
439090,3642,2.34,7.84,12191,0.0,0
195500,4069,0.0,0.79,0,0.0,0
377480,4213,0.0,6.69,0,0.0,0
305090,366,0.0,20.55,0,0.0,0
098120,5894,10.4,1.5,848,0.91,80
424980,5335,10.95,2.43,1185,0.0,0
038290,17861,0.0,0.96,0,1.74,300
267980,69073,23.17,0.66,1966,2.63,1200
005990,26999,16.17,0.31,520,1.78,150
093520,8312,5.27,1.18,1854,1.23,120
377030,1953,0.0,3.03,0,0.0,0
100590,5967,166.39,1.0,36,0.0,0
067280,28530,6.2,1.11,5106,2.53,800
072870,26478,6.79,0.42,1637,9.44,1050
215200,35711,7.15,1.76,8793,3.34,2100
133750,2978,28.39,0.92,96,0.0,0
235980,1345,0.0,5.61,0,0.0,0
041920,5644,8.99,1.06,664,0.84,50
014100,7165,0.0,0.42,0,0.0,0
054180,2476,0.0,0.35,0,0.0,0
086900,67873,39.05,3.18,5518,0.46,1000
078160,9811,44.43,0.76,167,0.0,0
065650,661,0.0,1.57,0,0.0,0
408920,1803,0.0,1.74,0,0.0,0
021880,355,0.0,0.87,0,0.0,0
140410,981,0.0,36.49,0,0.0,0
241770,19540,2.05,0.47,4453,4.97,455
059210,2649,34.52,1.5,115,0.5,20
058110,4312,0.0,0.61,0,1.13,30
434480,1490,80.34,4.74,88,0.0,0
080420,4472,0.0,0.59,0,0.0,0
417970,9776,11.24,1.58,1370,1.95,300
080160,3211,0.0,5.08,0,0.0,0
087260,1415,46.92,2.16,65,0.0,0
101330,12937,3.8,0.24,809,2.28,70
012860,2532,19.95,0.76,97,0.52,10
363260,250,0.0,2.38,0,0.0,0
348030,8312,12.68,0.9,589,0.0,0
250060,742,0.0,7.43,0,0.0,0
288980,1131,45.26,2.28,57,0.0,0
033200,7598,0.0,0.53,0,0.0,0
333050,837,0.0,1.61,0,1.04,14
118990,7276,9.68,2.1,1580,1.61,246
006920,2326,26.2,1.93,171,0.0,0
001810,9321,0.0,0.2,0,0.81,15
279600,3538,0.0,3.16,0,0.0,0
095500,8218,0.0,1.98,0,0.37,60
254490,5065,14.02,3.87,1399,0.0,0
218150,2147,94.04,2.28,52,0.0,0
442900,0,0.0,0.0,0,0.0,0
100790,6217,4.05,0.76,1169,0.0,0
412930,0,0.0,0.0,0,0.0,0
446190,0,0.0,0.0,0,0.0,0
448830,0,0.0,0.0,0,0.0,0
049950,16837,7.36,1.63,3737,1.09,300
207760,912,38.5,1.77,42,0.62,10
059090,4503,0.0,1.9,0,0.0,0
214610,828,0.0,3.67,0,0.0,0
201490,3872,10.25,0.73,277,0.0,0
418470,1148,8.07,15.29,2176,0.0,0
206640,7445,16.77,2.43,1080,0.83,150
018700,1705,0.0,0.95,0,0.0,0
035620,1160,0.0,0.55,0,0.0,0
053030,6196,19.33,1.25,402,0.0,0
301300,1017,0.0,6.69,0,0.0,0
064550,9144,66.99,3.43,468,0.0,0
314930,7509,60.22,7.3,910,0.0,0
208710,1212,149.83,0.74,6,0.0,0
086820,5456,0.0,2.08,0,0.0,0
038460,5038,99.61,0.75,38,0.0,0
251120,6211,25.81,2.04,492,0.0,0
199730,4339,7.66,2.67,1511,0.0,0
086040,3022,33.33,2.05,186,0.0,0
099430,1955,18.68,3.48,364,1.03,70
032980,645,0.0,2.14,0,0.0,0
222160,2928,374.67,1.92,15,0.0,0
308080,4717,0.0,1.07,0,0.0,0
